MAKE,MODEL,SERIAL,COST,CC,COSMETICGRADEC,COSMETICFLAWS,CGRADEDAMAGE,PROCESSOR,STORAGE,MEMORY,GRAPHICS,SCREENSIZEC,PROCGEN,RESOLUTIONC,BATTERYPRESENT,BATHEALTH,MEMSLOTS,PWPROTECTED,SCREENFLAWS,MONITORSHAPE,MONITORINPUTS,SCREENSIZEM,COSMETICGRADEM,RESOLUTIONM,POID,SOID,CCDATE,RECEIVEDATE,INVOICEDATE,LASTUPDATE,UPDATEBY,WAREHOUSE,LOCATION,WSGRADE,WSFAILS,MONITORFAILS,FUNCTIONALFAILS
DELL,OPTIPLEX 7010 SFF I7,87s27y1,$117.05,5C,B,Scratches Minor                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ;Scuffs Minor,,Intel(R) Core(TM) i7-3770 CPU @ 3.40GHz,,4 GB, HD Graphics 4000,"0.0""",GEN 3,1024 x 768,NO,N/A,4,,,,,in.,,,2539-3,0-0,9/3/2021,11/17/2020,12/31/1899,9/16/2021,CR,TP,W2-2-1-B,C,,,
DELL,LATITUDE E6320 I5,6F7J6R1,$83.33,4B-,B-,,Minor Dents,Intel(R) Core(TM) i5-2540M CPU @ 2.60GH,,8 GB,,"13.3""",GEN 2,1366 x 768,YES,2 (Good Health 60-79%),2,,,,,in.,,,2595-5,0-0,2/2/2021,12/3/2020,12/31/1899,9/15/2021,LT,TP,R2-1-3-A,B,,,
DELL,LATITUDE E5440,7lqgl32,$112.8,4B-,B-,,,Intel(R) Core(TM) i5-4310U CPU @ 2.00GHz,512 GB SSD,8 GB,,"14.0""",GEN 4,1366 x 768,YES,1 (Excellent Health 80-100%),2,,,,,in.,,,1352-19,0-0,1/13/2021,5/13/2020,12/31/1899,9/20/2021,CR,EV1,BOX-19,B,,,
LENOVO,THINKCENTRE 715Q,1s10m2s0a200mj0633lb,$194,4A,A,,,,,,Unknown,,,,YES,,,,,,,in.,,,1465-38,0-0,7/1/2020,5/20/2020,12/31/1899,9/15/2021,LT,TP,R1-1-1-A,A,,,
DELL,LATITUDE E7250 I5,c3xym32,$139,4B-,B-,,,Intel(R) Core(TM) i5-5300U CPU @ 2.30GHz,128 GB SSD,8 GB,,"12.6""",GEN 5,1366 x 768,NO,N/A,2,,,,,in.,,,2644-3,0-0,2/19/2021,12/7/2020,12/31/1899,12/17/2021,PT,TP,R2-1-7-D,B,,,
LENOVO,THINKPAD X1 CARBON (G1) I5,1S3444g7upk2lmlz,$100,8B,B,,,Intel(R) Core(TM) i5-3337U CPU @ 1.80GHz,128 GB SSD,4 GB,,"14.0""",GEN 3,1366 x 768,YES,2 (Good Health 60-79%),2,,,,,in.,,,2568-75,0-0,5/12/2021,12/10/2020,12/31/1899,9/8/2021,LT,eBay,BOX-1001,D,,,Bad Motherboard                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ;Computrace Activated
LENOVO,THINKPAD X1 CARBON (G1) I5,1S3444awur9wx6y0,$100,4B,B,,,Intel(R) Core(TM) i5-3317U CPU @ 1.70GHz,120 GB SSD,4 GB,,"14.0""",GEN 3,1366 x 768,YES,1 (Excellent Health 80-100%),2,,,,,in.,,,2568-76,0-0,5/13/2021,12/10/2020,12/31/1899,9/15/2021,LT,TP,R1-1-4-C,B,,,
LENOVO,THINKPAD X1 CARBON (G1) I5,1S3444awur9wx6wv,$100,4A,A,,,Intel(R) Core(TM) i5-3317U CPU @ 1.70GHz,120 GB SSD,4 GB,,"14.0""",GEN 3,1366 x 768,YES,2 (Good Health 60-79%),2,,,,,in.,,,2568-77,0-0,11/19/2020,12/10/2020,12/31/1899,9/15/2021,LT,TP,R1-1-4-B,A,,,
LENOVO,THINKPAD X1 CARBON (G1) I5,1S3444g7upk2lmkb,$100,4B,B,,,,,,Unknown,,,,YES,2 (Good Health 60-79%),,,,,,in.,,,2568-83,0-0,12/28/2020,12/10/2020,12/31/1899,9/15/2021,LT,TP,R1-1-4-B,B,,,
DELL,OPTIPLEX 7020 SFF I5,DDZQT52,$100.24,4B,B,,,,,,Unknown,,,,YES,,,,,,,in.,,,1005-42,0-0,3/30/2020,3/10/2020,12/31/1899,9/16/2021,CR,TP,W2-2-1-B,B,,,
